DateTime,Region,Value
02/01/2019 00:00:00,23,137243.5240
02/01/2019 00:00:00,24,722984.3910
02/01/2019 00:00:00,22,678572.4010
02/01/2019 00:00:00,21,415344.4030
02/01/2019 00:00:00,20,1563729.7200
02/01/2019 00:00:00,19,394740.8950
02/01/2019 00:00:00,18,2134019.4250
02/01/2019 00:00:00,17,412888.1340
02/01/2019 00:00:00,16,2356460.7940
02/01/2019 00:00:00,15,15963.1800
02/01/2019 00:00:00,14,16019.5270
02/01/2019 00:00:00,13,800857.0820
02/01/2019 00:00:00,12,1349915.4660
02/01/2019 00:00:00,11,3805809.2790
02/01/2019 00:00:00,10,1139791.7130
02/01/2019 00:00:00,9,988724.5760
02/01/2019 00:00:00,8,335609.3630
02/01/2019 00:00:00,7,859577.2230
02/01/2019 00:00:00,6,3152278.0910
02/01/2019 00:00:00,5,15963.1800
02/01/2019 00:00:00,4,16019.5270
02/01/2019 00:00:00,3,415344.4030
02/01/2019 00:00:00,2,678572.4010
02/01/2019 00:00:00,1,20154629.6940
