DateTime,Region,Value
03/01/2021 00:00:00,1,20740701.6060
03/01/2021 00:00:00,2,640601.1570
03/01/2021 00:00:00,3,410107.5250
03/01/2021 00:00:00,4,15340.2180
03/01/2021 00:00:00,5,16300.3810
03/01/2021 00:00:00,6,3214203.5830
03/01/2021 00:00:00,7,901481.2490
03/01/2021 00:00:00,8,354118.1860
03/01/2021 00:00:00,9,1012109.0070
03/01/2021 00:00:00,10,1190666.4200
03/01/2021 00:00:00,11,3853996.0690
03/01/2021 00:00:00,12,1445981.8430
03/01/2021 00:00:00,13,808309.7560
03/01/2021 00:00:00,14,15340.2180
03/01/2021 00:00:00,15,16300.3810
03/01/2021 00:00:00,16,2378553.1430
03/01/2021 00:00:00,17,437964.0610
03/01/2021 00:00:00,18,2252014.4270
03/01/2021 00:00:00,19,425492.4360
03/01/2021 00:00:00,20,1564011.2960
03/01/2021 00:00:00,21,410107.5250
03/01/2021 00:00:00,22,640601.1570
03/01/2021 00:00:00,24,757147.6660
03/01/2021 00:00:00,23,144652.4080
