DateTime,Region,Value
09/01/2015 00:00:00,1,19542588.1200
09/01/2015 00:00:00,2,746706.5630
09/01/2015 00:00:00,3,523712.0100
09/01/2015 00:00:00,4,16586.6270
09/01/2015 00:00:00,5,17753.8070
09/01/2015 00:00:00,6,3034131.6430
09/01/2015 00:00:00,7,826616.5890
09/01/2015 00:00:00,8,341766.1730
09/01/2015 00:00:00,9,884880.3040
09/01/2015 00:00:00,10,1066987.6650
09/01/2015 00:00:00,11,3715257.7290
09/01/2015 00:00:00,12,1383108.0380
09/01/2015 00:00:00,13,819975.7340
09/01/2015 00:00:00,14,16586.6270
09/01/2015 00:00:00,15,17753.8070
09/01/2015 00:00:00,16,2135972.7170
09/01/2015 00:00:00,17,389278.3940
09/01/2015 00:00:00,18,2158893.7800
09/01/2015 00:00:00,19,397413.1430
09/01/2015 00:00:00,20,1541750.7160
09/01/2015 00:00:00,21,523712.0100
09/01/2015 00:00:00,22,746706.5630
09/01/2015 00:00:00,24,710072.1890
09/01/2015 00:00:00,23,136483.3340
