DateTime,Region,Value
11/01/2012 00:00:00,1,20237350.4860
11/01/2012 00:00:00,2,719437.2840
11/01/2012 00:00:00,3,369888.7280
11/01/2012 00:00:00,4,17357.6960
11/01/2012 00:00:00,5,16310.4720
11/01/2012 00:00:00,6,3018009.3290
11/01/2012 00:00:00,7,844924.1450
11/01/2012 00:00:00,8,370868.5520
11/01/2012 00:00:00,9,925522.4020
11/01/2012 00:00:00,10,1147164.3980
11/01/2012 00:00:00,11,3854595.8370
11/01/2012 00:00:00,12,1419501.5440
11/01/2012 00:00:00,13,820566.8130
11/01/2012 00:00:00,14,17357.6960
11/01/2012 00:00:00,15,16310.4720
11/01/2012 00:00:00,16,2515225.9080
11/01/2012 00:00:00,17,400683.6510
11/01/2012 00:00:00,18,2068120.8660
11/01/2012 00:00:00,19,401679.7110
11/01/2012 00:00:00,20,1669152.1590
11/01/2012 00:00:00,21,369888.7280
11/01/2012 00:00:00,22,719437.2840
11/01/2012 00:00:00,24,635023.7890
11/01/2012 00:00:00,23,146311.5190
