DateTime,Region,Value
11/01/2014 00:00:00,1,19755727.6290
11/01/2014 00:00:00,2,706515.3730
11/01/2014 00:00:00,3,354468.8240
11/01/2014 00:00:00,4,17368.6270
11/01/2014 00:00:00,5,16494.1640
11/01/2014 00:00:00,6,2914373.6730
11/01/2014 00:00:00,7,834057.3270
11/01/2014 00:00:00,8,366360.4470
11/01/2014 00:00:00,9,884390.1950
11/01/2014 00:00:00,10,1116910.0320
11/01/2014 00:00:00,11,3649981.5630
11/01/2014 00:00:00,12,1471356.8780
11/01/2014 00:00:00,13,866886.1810
11/01/2014 00:00:00,14,17368.6270
11/01/2014 00:00:00,15,16494.1640
11/01/2014 00:00:00,16,2337522.9830
11/01/2014 00:00:00,17,400321.3590
11/01/2014 00:00:00,18,2056801.9850
11/01/2014 00:00:00,19,373078.2650
11/01/2014 00:00:00,20,1672187.9210
11/01/2014 00:00:00,21,354468.8240
11/01/2014 00:00:00,22,706515.3730
11/01/2014 00:00:00,24,670911.1920
11/01/2014 00:00:00,23,140587.7780
