DateTime,Region,Value
09/01/2011 00:00:00,1,20965786.7910
09/01/2011 00:00:00,2,761341.8020
09/01/2011 00:00:00,3,554476.2050
09/01/2011 00:00:00,4,16688.6620
09/01/2011 00:00:00,5,18730.2790
09/01/2011 00:00:00,6,3308558.8510
09/01/2011 00:00:00,7,873386.5040
09/01/2011 00:00:00,8,366745.4380
09/01/2011 00:00:00,9,966134.2870
09/01/2011 00:00:00,10,1116460.8340
09/01/2011 00:00:00,11,4070321.8610
09/01/2011 00:00:00,12,1418986.1590
09/01/2011 00:00:00,13,866017.1490
09/01/2011 00:00:00,14,16688.6620
09/01/2011 00:00:00,15,18730.2790
09/01/2011 00:00:00,16,2433744.8860
09/01/2011 00:00:00,17,415145.3450
09/01/2011 00:00:00,18,2279001.6000
09/01/2011 00:00:00,19,406361.7540
09/01/2011 00:00:00,20,1605242.6270
09/01/2011 00:00:00,21,554476.2050
09/01/2011 00:00:00,22,761341.8020
09/01/2011 00:00:00,24,694007.0550
09/01/2011 00:00:00,23,145672.4690
