DateTime,Region,Value
01/01/2024 00:00:00,24,770319.9650
01/01/2024 00:00:00,12,1356103.1070
01/01/2024 00:00:00,13,775794.5120
01/01/2024 00:00:00,14,15948.7520
01/01/2024 00:00:00,15,16549.5220
01/01/2024 00:00:00,16,2626644.8300
01/01/2024 00:00:00,17,430139.2260
01/01/2024 00:00:00,18,2308331.5330
01/01/2024 00:00:00,19,440820.7060
01/01/2024 00:00:00,21,445713.8970
01/01/2024 00:00:00,22,741144.3630
01/01/2024 00:00:00,20,1280841.5470
01/01/2024 00:00:00,23,140090.2600
01/01/2024 00:00:00,1,20971614.7770
01/01/2024 00:00:00,2,741144.3630
01/01/2024 00:00:00,3,445713.8970
01/01/2024 00:00:00,4,15948.7520
01/01/2024 00:00:00,5,16549.5220
01/01/2024 00:00:00,6,3453378.8270
01/01/2024 00:00:00,7,848686.0600
01/01/2024 00:00:00,8,310049.2280
01/01/2024 00:00:00,9,1040760.1440
01/01/2024 00:00:00,10,1201844.5880
01/01/2024 00:00:00,11,3969654.1880
