DateTime,Region,Value
03/01/2024 00:00:00,24,741521.6010
03/01/2024 00:00:00,12,1328613.8910
03/01/2024 00:00:00,13,735846.3520
03/01/2024 00:00:00,14,15348.7590
03/01/2024 00:00:00,15,15502.0420
03/01/2024 00:00:00,16,2297634.6550
03/01/2024 00:00:00,17,395654.2220
03/01/2024 00:00:00,18,2110059.5280
03/01/2024 00:00:00,19,386812.7440
03/01/2024 00:00:00,21,428369.2960
03/01/2024 00:00:00,22,724477.3190
03/01/2024 00:00:00,20,1252670.7040
03/01/2024 00:00:00,23,127942.9440
03/01/2024 00:00:00,1,19350077.4080
03/01/2024 00:00:00,2,724477.3190
03/01/2024 00:00:00,3,428369.2960
03/01/2024 00:00:00,4,15348.7590
03/01/2024 00:00:00,5,15502.0420
03/01/2024 00:00:00,6,3097054.7930
03/01/2024 00:00:00,7,852271.6890
03/01/2024 00:00:00,8,322730.6400
03/01/2024 00:00:00,9,996481.6570
03/01/2024 00:00:00,10,1115284.6100
03/01/2024 00:00:00,11,3589497.3570
