DateTime,Region,Value
03/01/2023 00:00:00,1,19343614.8880
03/01/2023 00:00:00,2,713582.3580
03/01/2023 00:00:00,3,414693.8160
03/01/2023 00:00:00,4,15386.3350
03/01/2023 00:00:00,5,15200.6470
03/01/2023 00:00:00,6,3057700.2820
03/01/2023 00:00:00,7,844115.4880
03/01/2023 00:00:00,8,313187.5210
03/01/2023 00:00:00,9,981522.5170
03/01/2023 00:00:00,10,1125672.9090
03/01/2023 00:00:00,11,3680174.9020
03/01/2023 00:00:00,12,1377941.1800
03/01/2023 00:00:00,13,725089.4430
03/01/2023 00:00:00,14,15386.3350
03/01/2023 00:00:00,15,15200.6470
03/01/2023 00:00:00,16,2265854.3740
03/01/2023 00:00:00,23,130471.5080
03/01/2023 00:00:00,21,414693.8160
03/01/2023 00:00:00,22,713582.3580
03/01/2023 00:00:00,17,408551.3820
03/01/2023 00:00:00,18,2138505.2350
03/01/2023 00:00:00,19,399112.1910
03/01/2023 00:00:00,20,1166869.1880
03/01/2023 00:00:00,24,728846.3340
