DateTime,Region,Value
03/01/2015 00:00:00,1,21137754.3250
03/01/2015 00:00:00,2,712202.3140
03/01/2015 00:00:00,3,438112.2710
03/01/2015 00:00:00,4,15897.6380
03/01/2015 00:00:00,5,16655.9910
03/01/2015 00:00:00,6,3150607.5170
03/01/2015 00:00:00,7,904810.7860
03/01/2015 00:00:00,8,393903.3330
03/01/2015 00:00:00,9,964927.0240
03/01/2015 00:00:00,10,1201742.2150
03/01/2015 00:00:00,11,3960238.8570
03/01/2015 00:00:00,12,1567560.3270
03/01/2015 00:00:00,13,929543.1430
03/01/2015 00:00:00,14,15897.6380
03/01/2015 00:00:00,15,16655.9910
03/01/2015 00:00:00,16,2446457.0050
03/01/2015 00:00:00,17,424378.6630
03/01/2015 00:00:00,18,2192370.0000
03/01/2015 00:00:00,19,393253.8360
03/01/2015 00:00:00,20,1745705.0280
03/01/2015 00:00:00,21,438112.2710
03/01/2015 00:00:00,22,712202.3140
03/01/2015 00:00:00,24,712508.4070
03/01/2015 00:00:00,23,149748.2310
