DateTime,Region,Value
12/01/2016 00:00:00,24,733326.9860
12/01/2016 00:00:00,23,147239.2780
12/01/2016 00:00:00,22,743769.3480
12/01/2016 00:00:00,21,418652.8370
12/01/2016 00:00:00,20,1761950.5580
12/01/2016 00:00:00,19,422196.7750
12/01/2016 00:00:00,18,2228872.7170
12/01/2016 00:00:00,17,404065.5800
12/01/2016 00:00:00,16,2564376.1420
12/01/2016 00:00:00,15,17168.9500
12/01/2016 00:00:00,14,18263.8440
12/01/2016 00:00:00,13,914567.0610
12/01/2016 00:00:00,12,1345708.9380
12/01/2016 00:00:00,11,3959624.4680
12/01/2016 00:00:00,10,1213425.2640
12/01/2016 00:00:00,9,987773.4920
12/01/2016 00:00:00,8,344943.9140
12/01/2016 00:00:00,7,876550.4800
12/01/2016 00:00:00,6,3395895.5320
12/01/2016 00:00:00,5,17168.9500
12/01/2016 00:00:00,4,18263.8440
12/01/2016 00:00:00,3,418652.8370
12/01/2016 00:00:00,2,743769.3480
12/01/2016 00:00:00,1,21300517.1880
