DateTime,Region,Value
05/01/2016 00:00:00,1,19690888.6380
05/01/2016 00:00:00,2,698555.9060
05/01/2016 00:00:00,3,471214.6920
05/01/2016 00:00:00,4,16948.6540
05/01/2016 00:00:00,5,16451.0000
05/01/2016 00:00:00,6,2996114.6450
05/01/2016 00:00:00,7,859894.6790
05/01/2016 00:00:00,8,365297.8050
05/01/2016 00:00:00,9,887375.4720
05/01/2016 00:00:00,10,1101075.6620
05/01/2016 00:00:00,11,3720708.8160
05/01/2016 00:00:00,12,1365636.9430
05/01/2016 00:00:00,13,880476.3110
05/01/2016 00:00:00,14,16948.6540
05/01/2016 00:00:00,15,16451.0000
05/01/2016 00:00:00,16,2180629.2610
05/01/2016 00:00:00,17,415325.6120
05/01/2016 00:00:00,18,2096603.0860
05/01/2016 00:00:00,19,356185.8460
05/01/2016 00:00:00,20,1620285.8890
05/01/2016 00:00:00,21,471214.6920
05/01/2016 00:00:00,22,698555.9060
05/01/2016 00:00:00,23,137006.3000
05/01/2016 00:00:00,24,708272.3920
