DateTime,Region,Value
01/01/2019 00:00:00,1,23296649.0750
01/01/2019 00:00:00,2,755349.3440
01/01/2019 00:00:00,3,477795.7030
01/01/2019 00:00:00,4,17830.2390
01/01/2019 00:00:00,5,18530.1860
01/01/2019 00:00:00,6,3668893.3280
01/01/2019 00:00:00,7,957420.0990
01/01/2019 00:00:00,8,376344.8120
01/01/2019 00:00:00,9,1112346.1340
01/01/2019 00:00:00,10,1304599.6610
01/01/2019 00:00:00,11,4346165.0160
01/01/2019 00:00:00,12,1566908.5010
01/01/2019 00:00:00,13,955695.7470
01/01/2019 00:00:00,14,17830.2390
01/01/2019 00:00:00,15,18530.1860
01/01/2019 00:00:00,16,2744878.7480
01/01/2019 00:00:00,17,463542.5210
01/01/2019 00:00:00,18,2510836.6630
01/01/2019 00:00:00,19,457953.3070
01/01/2019 00:00:00,20,1831829.7180
01/01/2019 00:00:00,21,477795.7030
01/01/2019 00:00:00,22,755349.3440
01/01/2019 00:00:00,24,841665.3600
01/01/2019 00:00:00,23,157569.4320
