DateTime,Region,Value
04/01/2015 00:00:00,23,130672.6370
04/01/2015 00:00:00,24,653734.3300
04/01/2015 00:00:00,22,671852.8620
04/01/2015 00:00:00,21,396128.1150
04/01/2015 00:00:00,20,1577762.5830
04/01/2015 00:00:00,19,343621.0700
04/01/2015 00:00:00,18,1955264.8170
04/01/2015 00:00:00,17,380280.8600
04/01/2015 00:00:00,16,2120817.0100
04/01/2015 00:00:00,15,15744.2480
04/01/2015 00:00:00,14,15142.3190
04/01/2015 00:00:00,13,856934.8260
04/01/2015 00:00:00,12,1381717.7660
04/01/2015 00:00:00,11,3547210.8630
04/01/2015 00:00:00,10,1056678.9810
04/01/2015 00:00:00,9,851270.3600
04/01/2015 00:00:00,8,348258.8620
04/01/2015 00:00:00,7,800756.8670
04/01/2015 00:00:00,6,2809896.4970
04/01/2015 00:00:00,5,15744.2480
04/01/2015 00:00:00,4,15142.3190
04/01/2015 00:00:00,3,396128.1150
04/01/2015 00:00:00,2,671852.8620
04/01/2015 00:00:00,1,18814878.3300
