DateTime,Region,Value
04/01/2023 00:00:00,24,650162.3230
04/01/2023 00:00:00,20,1022015.5330
04/01/2023 00:00:00,19,341414.4430
04/01/2023 00:00:00,18,1866579.9540
04/01/2023 00:00:00,17,352613.5180
04/01/2023 00:00:00,22,675990.9820
04/01/2023 00:00:00,21,405772.4000
04/01/2023 00:00:00,23,111893.5530
04/01/2023 00:00:00,16,1897999.2690
04/01/2023 00:00:00,15,14461.3440
04/01/2023 00:00:00,14,13780.9550
04/01/2023 00:00:00,13,650440.5330
04/01/2023 00:00:00,12,1162464.0890
04/01/2023 00:00:00,11,3241621.7180
04/01/2023 00:00:00,10,1000555.0540
04/01/2023 00:00:00,9,918519.2210
04/01/2023 00:00:00,8,293101.1480
04/01/2023 00:00:00,7,758608.4860
04/01/2023 00:00:00,6,2803750.5520
04/01/2023 00:00:00,5,14461.3440
04/01/2023 00:00:00,4,13780.9550
04/01/2023 00:00:00,3,405772.4000
04/01/2023 00:00:00,2,675990.9820
04/01/2023 00:00:00,1,17071739.8380
