DateTime,Region,Value
04/01/2013 00:00:00,23,135652.5810
04/01/2013 00:00:00,24,638919.9630
04/01/2013 00:00:00,22,696165.8840
04/01/2013 00:00:00,21,396589.9970
04/01/2013 00:00:00,20,1643777.5060
04/01/2013 00:00:00,19,363412.3330
04/01/2013 00:00:00,18,1941958.4780
04/01/2013 00:00:00,17,385948.9720
04/01/2013 00:00:00,16,2325172.2260
04/01/2013 00:00:00,15,15878.1060
04/01/2013 00:00:00,14,14575.2530
04/01/2013 00:00:00,13,871409.1100
04/01/2013 00:00:00,12,1416858.7720
04/01/2013 00:00:00,11,3666174.0220
04/01/2013 00:00:00,10,1078989.9560
04/01/2013 00:00:00,9,898068.4160
04/01/2013 00:00:00,8,371950.6630
04/01/2013 00:00:00,7,814430.9150
04/01/2013 00:00:00,6,2901513.8090
04/01/2013 00:00:00,5,15878.1060
04/01/2013 00:00:00,4,14575.2530
04/01/2013 00:00:00,3,396589.9970
04/01/2013 00:00:00,2,696165.8840
04/01/2013 00:00:00,1,19454237.4310
