DateTime,Region,Value
03/01/2022 00:00:00,1,20289026.1470
03/01/2022 00:00:00,2,711961.0920
03/01/2022 00:00:00,3,441909.8670
03/01/2022 00:00:00,4,17074.7050
03/01/2022 00:00:00,5,15776.9510
03/01/2022 00:00:00,6,3245036.9050
03/01/2022 00:00:00,7,863091.4870
03/01/2022 00:00:00,8,304597.7170
03/01/2022 00:00:00,9,967960.9950
03/01/2022 00:00:00,10,1170167.9860
03/01/2022 00:00:00,11,3870758.8120
03/01/2022 00:00:00,12,1336660.4410
03/01/2022 00:00:00,13,764589.3470
03/01/2022 00:00:00,14,17074.7050
03/01/2022 00:00:00,15,15776.9510
03/01/2022 00:00:00,16,2460329.9070
03/01/2022 00:00:00,17,451568.5780
03/01/2022 00:00:00,18,2335792.4910
03/01/2022 00:00:00,19,422631.1230
03/01/2022 00:00:00,20,1222744.8720
03/01/2022 00:00:00,21,441909.8670
03/01/2022 00:00:00,22,711961.0920
03/01/2022 00:00:00,24,729863.8180
03/01/2022 00:00:00,23,143230.9530
