DateTime,Value
08/01/2019 00:00:00,789334.2740
08/02/2019 00:00:00,784389.3890
08/03/2019 00:00:00,706068.7840
08/04/2019 00:00:00,659374.4620
08/05/2019 00:00:00,772347.5000
08/06/2019 00:00:00,793044.8200
08/07/2019 00:00:00,787712.4210
08/08/2019 00:00:00,795638.9870
08/09/2019 00:00:00,795454.6970
08/10/2019 00:00:00,716321.0210
08/11/2019 00:00:00,651892.6260
08/12/2019 00:00:00,712385.3980
08/13/2019 00:00:00,713398.3230
08/14/2019 00:00:00,722738.2080
08/15/2019 00:00:00,661417.3170
08/16/2019 00:00:00,715896.4270
08/17/2019 00:00:00,692638.3600
08/18/2019 00:00:00,652155.4410
08/19/2019 00:00:00,750065.1060
08/20/2019 00:00:00,750474.2930
08/21/2019 00:00:00,743508.5690
08/22/2019 00:00:00,746785.3960
08/23/2019 00:00:00,746320.6470
08/24/2019 00:00:00,685685.9670
08/25/2019 00:00:00,640382.6000
08/26/2019 00:00:00,753002.1800
08/27/2019 00:00:00,748334.1030
08/28/2019 00:00:00,759403.9810
08/29/2019 00:00:00,778170.2660
08/30/2019 00:00:00,782463.0340
08/31/2019 00:00:00,704124.5820
