DateTime,Value
10/01/2012 00:00:00,677922.4070
10/02/2012 00:00:00,703241.0520
10/03/2012 00:00:00,709260.7100
10/04/2012 00:00:00,715320.2310
10/05/2012 00:00:00,710463.0800
10/06/2012 00:00:00,633565.6450
10/07/2012 00:00:00,581262.3480
10/08/2012 00:00:00,705009.4080
10/09/2012 00:00:00,713443.6480
10/10/2012 00:00:00,728315.0480
10/11/2012 00:00:00,715376.1960
10/12/2012 00:00:00,593334.4970
10/13/2012 00:00:00,593843.9380
10/14/2012 00:00:00,565672.2370
10/15/2012 00:00:00,678425.6710
10/16/2012 00:00:00,700805.3260
10/17/2012 00:00:00,706355.3900
10/18/2012 00:00:00,716482.4280
10/19/2012 00:00:00,714750.9490
10/20/2012 00:00:00,632022.7410
10/21/2012 00:00:00,575053.3100
10/22/2012 00:00:00,688473.7270
10/23/2012 00:00:00,704341.4230
10/24/2012 00:00:00,707923.0800
10/25/2012 00:00:00,699469.8940
10/26/2012 00:00:00,689026.3800
10/27/2012 00:00:00,619146.2540
10/28/2012 00:00:00,599017.7490
10/29/2012 00:00:00,704861.2840
10/30/2012 00:00:00,743541.5950
10/31/2012 00:00:00,730898.0410
