DateTime,Value
08/01/2024 00:00:00,816381.0980
08/02/2024 00:00:00,790281.5080
08/03/2024 00:00:00,693445.8440
08/04/2024 00:00:00,658289.4000
08/05/2024 00:00:00,752597.9480
08/06/2024 00:00:00,764537.7620
08/07/2024 00:00:00,764976.9560
08/08/2024 00:00:00,764506.3040
08/09/2024 00:00:00,765088.1140
08/10/2024 00:00:00,706478.0560
08/11/2024 00:00:00,664925.4680
08/12/2024 00:00:00,742437.4840
08/13/2024 00:00:00,730693.9640
08/14/2024 00:00:00,695826.7500
08/15/2024 00:00:00,610548.4600
08/16/2024 00:00:00,648033.7500
08/17/2024 00:00:00,641146.6550
08/18/2024 00:00:00,621429.0740
08/19/2024 00:00:00,704791.7330
08/20/2024 00:00:00,725502.5470
08/21/2024 00:00:00,735653.6990
08/22/2024 00:00:00,741907.4750
08/23/2024 00:00:00,735673.6640
08/24/2024 00:00:00,681056.9510
08/25/2024 00:00:00,640237.8820
08/26/2024 00:00:00,731212.4870
08/27/2024 00:00:00,758324.0910
08/28/2024 00:00:00,769767.4610
08/29/2024 00:00:00,759454.4630
08/30/2024 00:00:00,746771.5440
08/31/2024 00:00:00,670734.3810
