DateTime,Value
10/01/2011 00:00:00,667200.3650
10/02/2011 00:00:00,604185.1670
10/03/2011 00:00:00,737874.4360
10/04/2011 00:00:00,753877.1010
10/05/2011 00:00:00,761403.3510
10/06/2011 00:00:00,764644.5940
10/07/2011 00:00:00,747101.6650
10/08/2011 00:00:00,651597.3460
10/09/2011 00:00:00,589849.2730
10/10/2011 00:00:00,718306.6830
10/11/2011 00:00:00,734623.2490
10/12/2011 00:00:00,622927.9950
10/13/2011 00:00:00,726890.3870
10/14/2011 00:00:00,733211.8960
10/15/2011 00:00:00,650647.3880
10/16/2011 00:00:00,590232.6450
10/17/2011 00:00:00,720502.9520
10/18/2011 00:00:00,735451.5920
10/19/2011 00:00:00,740239.1750
10/20/2011 00:00:00,738404.2780
10/21/2011 00:00:00,734558.8880
10/22/2011 00:00:00,649389.3360
10/23/2011 00:00:00,592643.6710
10/24/2011 00:00:00,713766.1350
10/25/2011 00:00:00,718080.7320
10/26/2011 00:00:00,741963.0170
10/27/2011 00:00:00,746929.3640
10/28/2011 00:00:00,736809.0240
10/29/2011 00:00:00,655680.9600
10/30/2011 00:00:00,616986.1470
10/31/2011 00:00:00,658207.0690
