DateTime,Value
03/01/2014 00:00:00,712665.9850
03/02/2014 00:00:00,641418.4040
03/03/2014 00:00:00,764247.0740
03/04/2014 00:00:00,782465.1500
03/05/2014 00:00:00,770119.5190
03/06/2014 00:00:00,760002.0040
03/07/2014 00:00:00,748795.7080
03/08/2014 00:00:00,667022.9520
03/09/2014 00:00:00,612035.3190
03/10/2014 00:00:00,734185.6920
03/11/2014 00:00:00,748784.6230
03/12/2014 00:00:00,748306.7980
03/13/2014 00:00:00,748403.4720
03/14/2014 00:00:00,748490.5720
03/15/2014 00:00:00,666820.6600
03/16/2014 00:00:00,605510.4010
03/17/2014 00:00:00,706893.3260
03/18/2014 00:00:00,720392.9970
03/19/2014 00:00:00,700306.6780
03/20/2014 00:00:00,717372.0410
03/21/2014 00:00:00,721361.7440
03/22/2014 00:00:00,654330.3000
03/23/2014 00:00:00,604403.7020
03/24/2014 00:00:00,732683.3580
03/25/2014 00:00:00,754953.6690
03/26/2014 00:00:00,761473.3730
03/27/2014 00:00:00,745577.3720
03/28/2014 00:00:00,748277.7200
03/29/2014 00:00:00,682437.3210
03/30/2014 00:00:00,600475.6450
03/31/2014 00:00:00,727905.0420
