DateTime,Value
09/01/2014 00:00:00,778790.8820
09/02/2014 00:00:00,803363.0270
09/03/2014 00:00:00,803213.1030
09/04/2014 00:00:00,799256.1800
09/05/2014 00:00:00,788357.8480
09/06/2014 00:00:00,702137.1080
09/07/2014 00:00:00,642464.7370
09/08/2014 00:00:00,745773.0000
09/09/2014 00:00:00,778421.7300
09/10/2014 00:00:00,777482.5050
09/11/2014 00:00:00,751047.1020
09/12/2014 00:00:00,757652.3240
09/13/2014 00:00:00,687134.7390
09/14/2014 00:00:00,625503.1300
09/15/2014 00:00:00,741544.6230
09/16/2014 00:00:00,756979.0590
09/17/2014 00:00:00,755732.7930
09/18/2014 00:00:00,752204.3780
09/19/2014 00:00:00,744218.2020
09/20/2014 00:00:00,661288.9570
09/21/2014 00:00:00,600603.6700
09/22/2014 00:00:00,711972.7660
09/23/2014 00:00:00,714485.6230
09/24/2014 00:00:00,705019.4500
09/25/2014 00:00:00,704637.6350
09/26/2014 00:00:00,697647.7030
09/27/2014 00:00:00,624697.8430
09/28/2014 00:00:00,575457.3220
09/29/2014 00:00:00,690435.2590
09/30/2014 00:00:00,709826.8210
